Srno,Name,Latitude,Longitude,LayerNO,SubLayer,Category,ZoomLevel,Zoomhide,Pincolor,color,adjust,Fehrist,fontsize,Pinsize,notes,notes2,Information
1,اليمامة,24.5940471,46.714514,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,"في كتاب العزيزي: انها في الاقليم الثالث، وعرضها خمس وثلاثون درجة، وكان فتحها وقتل مسيلمة الكذاب في ايام ابي بكر، سنة ١٢ للهجرة وفتحها امير المسلمين خالد ابن الوليد عنوة ثم صولحوا، وبين اليمامة والبحرين عشرة ايام، وهي معدودة من نجد وقاعدتها حجر، وتسمى اليمامة جوا والعروض، بفتح العين، وكان اسمها قديما جوا فسميت اليمامة باليمامة بنت سهم بن طسم.
(معجم البلدان، لشهاب الدين الحموي الرومي البغدادي، ج/5، دار صادر) صـ442"
2,النهروان,33.3783218,44.7062489,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
3,فدك,25.9752322,40.4731242,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
4,ينبع,24.3229941,38.432407,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
5,دهلك,16.0119289,40.1407231,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
6,بدر,23.7730463,38.7962924,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
7,ايلة,29.5497769,34.9892072,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
8,الاهواز,31.3183272,48.6706187,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
9,المدائن,33.0992925,44.5807395,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
10,قديد,22.3460167,39.3219212,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
11,البحرين,26.0667,50.5577,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
12,حلوان,34.3321643,45.2041197,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
13,ماسبذان,35.2519355,45.9396909,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
14,ماهان,30.067073,57.2893161,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
15,الطائف,21.2840782,40.4248192,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
16,تبوك,28.3835079,36.5661908,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
17,نجران,17.5656036,44.2289441,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
18,خيبر,25.6857666,39.29208,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
19,الكوفة,32.047243,44.3709408,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
20,البصرة,30.5259953,47.7737891,1,المواقع,muhaqqaq,,1:942799,D90000,,,,14,6,,,
21,بيت المقدس,31.7768831,35.2224346,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
22,الخورنق,31.98,44.39,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,ما حول الكوفة,,
23,مسجد الجامع بالكوفة,32.0291801,44.4007087,1,المواقع,muhaqqaq,1:3069166,,D90000,,,,6,4,ما حول الكوفة,,
24,النجف,32.0316216,44.3218899,1,المواقع,muhaqqaq,1:3069166,,D90000,,,,6,4,ما حول الكوفة,,
25,حروراء,32.10201921,44.34706985,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,ما حول الكوفة,,
26,العوالي,24.44519978,39.63818013,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,ما حول المدينة المنورة,,
27,الصلصل,24.4033477,39.5046037,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,ما حول المدينة المنورة,,
28,احد,24.5045303,39.6116593,1,المواقع,muhaqqaq,1:3069166,,D90000,,,,6,4,ما حول المدينة المنورة,,
29,سقيفة بني ساعدة,24.4702845,39.6067932,1,المواقع,muhaqqaq,1:3069166,,D90000,,,,6,4,ما حول المدينة المنورة,,
30,الربذة,24.6330765,41.2894951,1,المواقع,muhaqqaq,,,D90000,,,,14,6,,,
31,النخيلة,32.4922226,44.149478,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,,,
32,ماء لبني تميم,31.6612311,44.26554193,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,,,
33,وادي السباع,30.56846653,47.5884283,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,,,
34,حنين,21.5165556,40.0420278,1,المواقع,mashkook,1:3069166,,007DCC,,,,6,4,,,
35,مكة المكرمة,21.4240968,39.8173364,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
36,المدينة المنورة,24.4672132,39.6024496,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
37,صفين,35.6579067,38.7215117,1,المواقع,mashkook,,,007DCC,,,,16,6,,,
38,الروم,39.039964,33.2873476,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
39,الحبشة,9.145,40.489673,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
41,الشام,34.0757336,37.9784585,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
42,القادسية,32.043691,45.1494505,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
43,اليمن,15.552727,48.516388,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
44,مصر,26.820553,30.802498,1,المواقع,muhaqqaq,,,D90000,,,,16,6,,مدن كبيرة,
45,المربد,30.4,47.7,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
46,سكة المربد,30.39724516,47.71884487,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
47,المسجد,30.3995375,47.7331406,2,ما حول البصرة,muhaqqaq,1:3069166,,D90000,,,,6,4,ما حول البصرة,,
48,دار الامارة,30.39968897,47.73965475,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
49,الرحبة,30.39940157,47.73717417,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
50,الزاوية,30.4771875,47.6340781,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
51,الزابوقة,30.42143248,47.73444483,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
52,الجلحاء,30.53596618,47.4621663,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
53,الكلاء,30.54704082,47.77515645,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
54,دار الرزق,30.55617317,47.72036238,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
55,مقبرة بني مازن,30.3888121,47.7055306,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
56,سكة الموالي,30.46432873,47.73797978,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
57,مقتل الزبير,30.56942097,47.58266662,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
58,مقتل طلحة,30.54545546,47.76786343,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
59,السبخة - مقبرة بني حصن,30.55222017,47.71357502,2,ما حول البصرة,mashkook,1:3069166,,007DCC,,,,6,4,ما حول البصرة,,
60,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,
